"uf","municipios","esfera","status"
AC,-,Estatual,Não iniciado
AC,Acrelândia,Municipal,Não iniciado
AC,Assis Brasil,Municipal,Não iniciado
AC,Brasiléia,Municipal,Não iniciado
AC,Bujari,Municipal,Não iniciado
AC,Capixaba,Municipal,Não iniciado
AC,Cruzeiro do Sul,Municipal,Não iniciado
AC,Epitaciolândia,Municipal,Não iniciado
AC,Feijó,Municipal,Não iniciado
AC,Jordão,Municipal,Não iniciado
AC,Mâncio Lima,Municipal,Não iniciado
AC,Manoel Urbano,Municipal,Não iniciado
AC,Marechal Thaumaturgo,Municipal,Não iniciado
AC,Plácido de Castro,Municipal,Não iniciado
AC,Porto Acre,Municipal,Não iniciado
AC,Porto Walter,Municipal,Não iniciado
AC,Rio Branco,Municipal,Não iniciado
AC,Rodrigues Alves,Municipal,Não iniciado
AC,Santa Rosa do Purus,Municipal,Não iniciado
AC,Senador Guiomard,Municipal,Não iniciado
AC,Sena Madureira,Municipal,Não iniciado
AC,Tarauacá,Municipal,Não iniciado
AC,Xapuri,Municipal,Não iniciado
AL,-,Estatual,Não iniciado
AL,Água Branca,Municipal,Não iniciado
AL,Anadia,Municipal,Não iniciado
AL,Arapiraca,Municipal,Não iniciado
AL,Atalaia,Municipal,Não iniciado
AL,Barra de Santo Antônio,Municipal,Não iniciado
AL,Barra de São Miguel,Municipal,Não iniciado
AL,Batalha,Municipal,Não iniciado
AL,Belém,Municipal,Não iniciado
AL,Belo Monte,Municipal,Não iniciado
AL,Boca da Mata,Municipal,Não iniciado
AL,Branquinha,Municipal,Não iniciado
AL,Cacimbinhas,Municipal,Não iniciado
AL,Cajueiro,Municipal,Não iniciado
AL,Campestre,Municipal,Não iniciado
AL,Campo Alegre,Municipal,Não iniciado
AL,Campo Grande,Municipal,Não iniciado
AL,Canapi,Municipal,Não iniciado
AL,Capela,Municipal,Não iniciado
AL,Carneiros,Municipal,Não iniciado
AL,Chã Preta,Municipal,Não iniciado
AL,Coité do Nóia,Municipal,Não iniciado
AL,Colônia Leopoldina,Municipal,Não iniciado
AL,Coqueiro Seco,Municipal,Não iniciado
AL,Coruripe,Municipal,Não iniciado
AL,Craíbas,Municipal,Não iniciado
AL,Delmiro Gouveia,Municipal,Não iniciado
AL,Dois Riachos,Municipal,Não iniciado
AL,Estrela de Alagoas,Municipal,Não iniciado
AL,Feira Grande,Municipal,Não iniciado
AL,Feliz Deserto,Municipal,Não iniciado
AL,Flexeiras,Municipal,Não iniciado
AL,Girau do Ponciano,Municipal,Não iniciado
AL,Ibateguara,Municipal,Não iniciado
AL,Igaci,Municipal,Não iniciado
AL,Igreja Nova,Municipal,Não iniciado
AL,Inhapi,Municipal,Não iniciado
AL,Jacaré dos Homens,Municipal,Não iniciado
AL,Jacuípe,Municipal,Não iniciado
AL,Japaratinga,Municipal,Não iniciado
AL,Jaramataia,Municipal,Não iniciado
AL,Jequiá da Praia,Municipal,Não iniciado
AL,Joaquim Gomes,Municipal,Não iniciado
AL,Jundiá,Municipal,Não iniciado
AL,Junqueiro,Municipal,Não iniciado
AL,Lagoa da Canoa,Municipal,Não iniciado
AL,Limoeiro de Anadia,Municipal,Não iniciado
AL,Maceió,Municipal,Não iniciado
AL,Major Isidoro,Municipal,Não iniciado
AL,Maragogi,Municipal,Não iniciado
AL,Maravilha,Municipal,Não iniciado
AL,Marechal Deodoro,Municipal,Não iniciado
AL,Maribondo,Municipal,Não iniciado
AL,Mar Vermelho,Municipal,Não iniciado
