cnpj;numero_inscricao;tipo_inscricao (estadual ou municipal)
20.131.302/0001-06;119.700.969.118;
29.302.348/0001-15;310.935.050.115;
29.302.348/0002-04;310.693.702.114;
29.302.348/0003-87;241.106.454.112;
29.302.348/0004-68;310.703.354.115;
29.302.348/0005-49;0831032-79;
29.302.348/0006-20;241.131.779.116;
29.302.348/0007-00;797.632.253.112;
29.302.348/0008-91;407.907.469.110;
29.302.348/0009-72;32684420572;
29.302.348/0010-06;32684420653;
29.302.348/0011-97;417.704.914.112;
29.302.348/0012-78;797.852.021.111;
29.302.348/0013-59;310.952.949.118;
29.302.348/0014-30;32684420734;
29.302.348/0015-10;558.715.595.113;
29.302.348/0016-00;798.709.738.119;
29.302.348/0017-82;122.848.607.113;
29.302.348/0018-63;241.177.157.114;
29.302.348/0019-44;181.574.500.116;
29.302.348/0020-88;241.182.790.115;
29.302.348/0021-69;392.459.596.114;
29.302.348/0022-40;562.622.932.114;
29.302.348/0023-20;454.931.850.110;
29.302.348/0024-01;127.881.764.115;
29.302.348/0025-92;438.644.460.117;
29.302.348/0026-73;206.864.904.113;
29.302.348/0027-54;298.467.492.110;
29.302.348/0028-35;124.479.645.118;
29.302.348/0029-16;124.529.475.112;
29.302.348/0003-87;;105720200129
29.302.348/0004-68;;105720200200
29.302.348/0018-63;;105720200390
29.302.348/0003-87;;243254644
29.302.348/0018-63;;240517091
29.302.348/0003-87;;30006970
29.302.348/0004-68;;30006988
29.302.348/0005-49;;30015898
29.302.348/0007-00;;30015863
29.302.348/0014-30;;30015880
29.302.348/0018-63;;30018153
29.302.348/0003-87;;30593581
29.302.348/0004-68;;30593590
29.302.348/0005-49;;30686296
29.302.348/0007-00;;30686288
29.302.348/0014-30;;30693616
29.302.348/0018-63;;30708354
29.302.348/0003-87;;151786390
29.302.348/0004-68;;151918410
29.302.348/0005-49;;161891549
29.302.348/0007-00;;189879783
29.302.348/0014-30;;194259671
29.302.348/0003-87;;67924549
29.302.348/0004-68;;67907407
29.302.348/0005-49;;61766550
29.302.348/0007-00;;70863296
29.302.348/0018-63;;71166424
29.302.348/0003-87;;787755400100
29.302.348/0004-68;;787549100121
29.302.348/0014-30;;816064700140
29.302.348/0018-63;;819789000107
29.302.348/0003-87;;47155
29.302.348/0004-68;;47163
29.302.348/0005-49;;59994
29.302.348/0006-20;;53406
29.302.348/0007-00;;64637
29.302.348/0014-30;;67474
29.302.348/0018-63;;72060
29.302.348/0003-87;;107349388
29.302.348/0004-68;;107349485
29.302.348/0018-63;;200276140
29.302.348/0003-87;;125679130
29.302.348/0004-68;;125682832
29.302.348/0005-49;;126074380
29.302.348/0007-00;;126898189
29.302.348/0014-30;;127528253
29.302.348/0018-63;;127909869
29.302.348/0003-87;;32684420084
29.302.348/0004-68;;32684420165
29.302.348/0005-49;;32684420327
29.302.348/0007-00;;32684420408
29.302.348/0018-63;;32684420815
29.302.348/0003-87;;284914029
29.302.348/0004-68;;284914037
29.302.348/0003-87;;137826397
29.302.348/0004-68;;139611924
29.302.348/0005-49;;139612025
29.302.348/0006-20;;140276947
29.302.348/0007-00;;139612033
29.302.348/0014-30;;139612041
29.302.348/0003-87;;157449149
29.302.348/0018-63;;158795210
29.302.348/0003-87;;169021696
29.302.348/0004-68;;169021700
29.302.348/0005-49;;169024369
29.302.348/0007-00;;169036448
29.302.348/0018-63;;169039498
29.302.348/0003-87;;80227473
29.302.348/0004-68;;80518281
29.302.348/0006-20;;114367191
29.302.348/0007-00;;102267880
29.302.348/0014-30;;106488600
29.302.348/0018-63;;108730077
29.302.348/0003-87;;196274842
29.302.348/0004-68;;196274800
29.302.348/0005-49;;196537096
29.302.348/0003-87;;990754730
29.302.348/0004-68;;990754810
29.302.348/0005-49;;991029427
29.302.348/0006-20;;990856907
29.302.348/0007-00;;991030271
29.302.348/0014-30;;991029508
29.302.348/0018-63;;991091491
29.302.348/0003-87;;11222447
29.302.348/0004-68;;11221920
29.302.348/0005-49;;12621876
29.302.348/0006-20;;11629270
29.302.348/0007-00;;12074832
29.302.348/0014-30;;12444796
29.302.348/0018-63;;12700016
29.302.348/0003-87;;203035496
29.302.348/0004-68;;203035500
29.302.348/0005-49;;203037260
29.302.348/0007-00;;203045645
29.302.348/0018-63;;203052161
29.302.348/0003-87;;5108381
29.302.348/0014-30;;6409482
29.302.348/0018-63;;6598226
29.302.348/0003-87;;240379084
29.302.348/0004-68;;240475527
29.302.348/0005-49;;240475661
29.302.348/0007-00;;240475625
29.302.348/0014-30;;240491834
29.302.348/0018-63;;240494184
29.302.348/0003-87;;9000038770
29.302.348/0004-68;;9000037528
29.302.348/0003-87;;258806206
29.302.348/0004-68;;258806192
29.302.348/0005-49;;261508288
29.302.348/0007-00;;261508270
29.302.348/0014-30;;261871978
29.302.348/0018-63;;262165368
29.302.348/0003-87;;271612495
29.302.348/0004-68;;271614552
29.302.348/0005-49;;271663081
29.302.348/0007-00;;271837454
29.302.348/0018-63;;271896469
29.302.348/0005-49;;817011407113
29.302.348/0014-30;;813023864115
29.302.348/0003-87;;294978704
29.302.348/0004-68;;294980180
