"municipio","uf","inep","esfera","nomeescola","selecao_atual","justificativa"
Domingos Mourao,PI,22035974,municipal,ESC MUL GONCALO DOMINGOS DE OLIVEIRA,Sim,-
Domingos Mourao,PI,22036032,municipal,UNID ESC NOSSA SENHORA APARECIDA,Sim,-
Domingos Mourao,PI,22036334,municipal,UNID ESC ANTONIO ISAIAS DE MARIA,Sim,-
Domingos Mourao,PI,22036342,municipal,UNID ESC CONRADO PEREIRA DOS SANTOS,Sim,-
Domingos Mourao,PI,22036350,municipal,UNID ESC RAIMUNDO JOAQUIM DOS SANTOS,Sim,-
Domingos Mourao,PI,22036385,municipal,UNID ESC MONSENHOR UCHOA,Sim,-
Domingos Mourao,PI,22123334,municipal,UNID ESC ADALGISA MORAIS SOUSA,Sim,-
Domingos Mourao,PI,22244719,municipal,ESCOLA DE EDUCACAO INFANTIL MEUS PRIMEIROS PASSOS,Sim,-
Sao Miguel do Tapuio,PI,22039694,municipal,UNIDADE ESCOLAR JOSE FELIX DE ALMEIDA,Sim,-
Sao Miguel do Tapuio,PI,22039864,municipal,UNIDADE ESCOLAR CACIMBA NOVA,Sim,-
Sao Miguel do Tapuio,PI,22039937,municipal,ESCOLA MUNICIPAL DE MELANCIAS,Sim,-
Sao Miguel do Tapuio,PI,22040196,municipal,UNIDADE ESCOLAR ALEXANDRE CARDOSO HOMEM,Sim,-
Sao Miguel do Tapuio,PI,22040200,municipal,UNIDADE ESCOLAR AMADOR CARDOSO,Sim,-
Sao Miguel do Tapuio,PI,22040323,municipal,UNIDADE ESCOLAR MANUEL EVARISTO DE PAIVA,Sim,-
Sao Miguel do Tapuio,PI,22040439,municipal,UNIDADE ESCOLAR JOAO CLARISMUNDO DE AQUINO,Sim,-
Sao Miguel do Tapuio,PI,22040447,municipal,UNIDADE ESCOLAR JOAO LIBERATO LIMA,Sim,-
Sao Miguel do Tapuio,PI,22040455,municipal,UNID ESC LUIS CARDOSO LIMA,Sim,-
Sao Miguel do Tapuio,PI,22040463,municipal,UNIDADE ESCOLAR MAMEDE ALVES DE OLIVEIRA,Sim,-
Sao Miguel do Tapuio,PI,22040471,municipal,UNIDADE ESCOLAR MANOEL GONCALVES DA SILVA,Sim,-
Sao Miguel do Tapuio,PI,22040498,municipal,UNIDADE ESCOLAR MARIA GONCALVES LIMA,Sim,-
Sao Miguel do Tapuio,PI,22040501,municipal,UNIDADE ESCOLAR MESTRE DIOGO,Sim,-
Sao Miguel do Tapuio,PI,22040536,municipal,UNIDADE ESCOLAR RAIMUNDO MARCELINO DE SOUSA II,Sim,-
Sao Miguel do Tapuio,PI,22040560,municipal,UNIDADE ESCOLAR NOVO HORIZONTE I,Sim,-
Sao Miguel do Tapuio,PI,22040617,municipal,UNIDADE ESCOLAR SAO FRANCISCO,Sim,-
Sao Miguel do Tapuio,PI,22040641,municipal,UNIDADE ESCOLAR ANTONIA MARIA DE MATOS,Sim,-
Sao Miguel do Tapuio,PI,22040668,municipal,UNIDADE ESCOLAR JOAO CANDIDO,Sim,-
Sao Miguel do Tapuio,PI,22115331,municipal,UNIDADE ESCOLAR ESTADO,Sim,-
Sao Miguel do Tapuio,PI,22117784,municipal,UNID ESC CACHOEIRA,Sim,-
Sao Miguel do Tapuio,PI,22127666,municipal,UNIDADE ESCOLAR PROFESSOR JOSE CARLOS PITOMBEIRA DE SOUSA,Sim,-
Sao Miguel do Tapuio,PI,22132708,municipal,UNIDADE ESCOLAR DE MORADA NOVA,Sim,-
Sao Miguel do Tapuio,PI,22132716,municipal,UNIDADE ESCOLAR NOVO HORIZONTE II,Sim,-
Sao Miguel do Tapuio,PI,22132724,municipal,UNIDADE ESCOLAR RAIMUNDO MARCELINO SOUSA I,Sim,-
Sao Miguel do Tapuio,PI,22137084,municipal,ESCOLA MUNICIPAL DE CURRAIS NOVOS,Sim,-
Sao Miguel do Tapuio,PI,22250786,municipal,CRECHE MUNICIPAL CURUMIM,Sim,-
