ID_REDE;1_REDE_DE_ENSINO;V00_Total de escolas por rede;V01_Escolas sem instalações elétricas;V02_Escolas com instalações elétricas;V03_1. Acesso adequado - fibra;V04_2. Acesso inadequado - menos de 20 km;V05_3. Acesso inadequado - mais de 20 km;V06_4. Acesso inadequado - localização imprecisa;V07_Escolas acima de 1Mbps;V08_Escolas abaixo de 1Mbps;V09_Escolas com medidor;V10_Escolas sem medidor
Estadual - 35;Estadual - São Paulo;5620;3;5617;5430;187;0;3;356;5264;4053;1567
Municipal - 3550308;Municipal - São Paulo;1534;0;1534;1527;1;0;6;92;1442;801;733
Municipal - 3509502;Municipal - Campinas;217;0;217;216;1;0;0;55;162;149;68
Municipal - 2211001;Municipal - Teresina;321;0;321;300;21;0;0;57;264;170;151
Municipal - 1100205;Municipal - Porto Velho;141;1;140;114;12;7;8;7;134;56;85
Estadual - 11;Estadual - Rondônia;408;35;373;325;32;43;8;67;341;178;230
Municipal - 1100403;Municipal - Alto Paraíso;7;0;7;4;3;0;0;0;7;4;3
Municipal - 1101005;Municipal - Governador Jorge Teixeira;5;0;5;3;2;0;0;0;5;1;4
Municipal - 1101203;Municipal - Ministro Andreazza;5;0;5;3;2;0;0;0;5;1;4
Municipal - 1200203;Municipal - Cruzeiro do Sul;101;22;79;63;25;13;0;8;93;26;75
Estadual - 12;Estadual - Acre;611;232;379;340;101;165;5;20;591;107;504
Municipal - 2202604;Municipal - Castelo do Piauí;26;0;26;18;8;0;0;5;21;17;9
Municipal - 1200500;Municipal - Sena Madureira;72;39;33;40;10;22;0;0;72;1;71
Municipal - 1500347;Municipal - Água Azul do Norte;12;0;12;9;3;0;0;2;10;9;3
Municipal - 1302405;Municipal - Lábrea;136;91;45;29;10;97;0;1;135;10;126
Estadual - 13;Estadual - Amazonas;755;19;736;391;78;285;1;2;753;122;633
Municipal - 1302603;Municipal - Manaus;500;15;485;436;32;32;0;7;493;137;363
