cnpj_raiz;cnpj;nome_bandeira;cidade;uf;nome
00.318.069;00.318.069/0001-68;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069000168
04.251.958;04.251.958/0001-06;CENTRALE COMPRA, VENDA E LOCACAO DE IMOVEIS LTDA;SAO PAULO;SP;CENTRALE - 04251958000106
05.239.361;05.239.361/0001-09;RACEBOOTCAMP ACADEMIA DE GINASTICA LTDA;SAO PAULO;SP;RACEBOOTCAMP - 05239361000109
05.636.746;05.636.746/0001-00;ESCOLA DE GINASTICA E DANCA BIO PLAZA LTDA;SAO PAULO;SP;BIO PLAZA - 05636746000100
07.594.978;07.594.978/0001-78;SMARTFIT ESCOLA DE GINASTICA E DANCA S.A;SAO PAULO;SP;SMARTFIT - 07594978000178
08.644.821;08.644.821/0001-72;ADV ESPORTE E SAUDE LTDA;BRASILIA;DF;ADV ESPORTE - 08644821000172
10.272.640;10.272.640/0001-04;BIOSANTA ACADEMIA LTDA.;SAO PAULO;SP;BIOSANTA - 10272640000104
11.050.377;11.050.377/0001-71;SMARTFIN COBRANCAS LTDA.;SAO PAULO;SP;SMARTFIN COBRANCAS - 11050377000171
11.895.668;11.895.668/0001-60;BIOPAULI COMPRA, VENDA E LOCACAO DE IMOVEIS LTDA;SAO PAULO;SP;BIOPAULI - 11895668000160
12.293.761;12.293.761/0001-68;MB NEGOCIOS DIGITAIS S/A;BELO HORIZONTE;MG;MB NEGOCIOS - 12293761000168
13.266.676;13.266.676/0001-73;ASNSMART ACADEMIA DE GINASTICA LTDA;BRASILIA;DF;ASNSMART - 13266676000173
14.711.306;14.711.306/0001-60;BIORITMO FRANQUEADORA LTDA;SAO PAULO;SP;BIORITMO FRANQUEADORA - 14711306000160
16.738.149;16.738.149/0001-02;JUST FIT PARTICIPACOES EM EMPREENDIMENTOS S.A.;SAO PAULO;SP;JUST FIT PARTICIPACOES - 16738149000102
17.147.843;17.147.843/0001-18;M2 - ACADEMIA DE GINASTICA LTDA;SAO BERNARDO DO CAMPO;SP;M2 ACADEMIA - 17147843000118
21.035.115;21.035.115/0001-91;SMARTMNG ACADEMIA DE GINASTICA LTDA.;BELO HORIZONTE;MG;SMARTMNG - 21035115000191
21.822.363;21.822.363/0001-82;SMARTRFE ESCOLA DE GINASTICA E DANCA LTDA.;RECIFE;PE;SMARTRFE - 21822363000182
27.059.627;27.059.627/0001-74;TOTAL PASS PARTICIPACOES LTDA;SAO PAULO;SP;TOTAL PASS - 27059627000174
29.937.719;29.937.719/0001-35;SMARTDOM ESCOLA DE GINASTICA E DANCA LTDA;BRASILIA;DF;SMARTDOM - 29937719000135
35.107.701;35.107.701/0001-09;MICROSUL ACADEMIA DE GINASTICA LTDA;CURITIBA;PR;MICROSUL ACADEMIA - 35107701000109
58.410.341;58.410.341/0001-15;ESCOLA DE NATACAO E GINASTICA BIOMORUM LTDA;SAO PAULO;SP;BIOMORUM - 58410341000115
00.318.069;00.318.069/0002-49;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069000249
00.318.069;00.318.069/0006-72;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069000672
00.318.069;00.318.069/0007-53;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069000753
00.318.069;00.318.069/0008-34;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069000834
00.318.069;00.318.069/0009-15;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069000915
00.318.069;00.318.069/0010-59;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001059
00.318.069;00.318.069/0012-10;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001210
00.318.069;00.318.069/0014-82;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001482
00.318.069;00.318.069/0015-63;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;OSASCO;SP;BIOSWIM - 00318069001563
00.318.069;00.318.069/0016-44;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001644
00.318.069;00.318.069/0017-25;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001725
00.318.069;00.318.069/0018-06;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001806
00.318.069;00.318.069/0019-97;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069001997
00.318.069;00.318.069/0020-20;ESCOLA DE NATACAO E GINASTICA BIOSWIM LTDA.;SAO PAULO;SP;BIOSWIM - 00318069002020
