cnpj;numero_inscricao Municipal;numero_inscricao Estadual
00.318.069/0001-68;2.313.649-9;115.012.809.111
00.318.069/0002-49;2.641.428-7;115.311.197.115
00.318.069/0006-72;4.595.855-6;
00.318.069/0007-53;4.595.856-4;
00.318.069/0008-34;5.065.652-0;
00.318.069/0009-15;5.105.336-5;
00.318.069/0010-59;5.105.334-9;
00.318.069/0012-10;5.324.755-8;
00.318.069/0014-82;5.548.683-5;
00.318.069/0015-63;120452;
00.318.069/0016-44;5.861.120-7;118.769.399.110
00.318.069/0017-25;5.942.991-7;
00.318.069/0018-06;5.943.018-4;
00.318.069/0019-97;5.943.016-8;
00.318.069/0020-20;5.943.045-1;
00.318.069/0021-01;5.943.046-0;
00.318.069/0022-92;6.752.169-0;130.018.655.115
00.318.069/0023-73;7.202.414-3;
00.318.069/0024-54;7.589.731-8;
00.318.069/0025-35;7.627.844-1;
04.251.958/0001-06;3.092.325-5;
05.239.361/0001-09;3.153.291-8;
05.239.361/0002-90;5.797.266-4;
05.239.361/0003-70;5.797.264-8;
05.239.361/0006-13;5.861.085-5;
05.239.361/0007-02;5.991.003-8;
05.239.361/0009-66;7.054.618-5;
05.239.361/0010-08;7.083.669-8;
05.239.361/0011-80;7.267.760-0;
05.239.361/0012-61;7.370.121-1;
05.239.361/0008-85;1145562-0;
05.239.361/0014-23;1470332-2;
05.636.746/0001-00;3.225.754-6;
07.594.978/0140-47;901404459;
07.594.978/0313-08;901452044;
07.594.978/0487-07;901620249;
07.594.978/0163-33;610.756/002-80;
07.594.978/0164-14;610.756/001-08;
07.594.978/0316-42;610.756/004-47;
07.594.978/0320-29;610.756/005-12;
07.594.978/0328-86;610.756/006-94;
07.594.978/0331-81;610.756/007-77;
07.594.978/0334-24;610.756/008-50;
07.594.978/0368-73;610.756/009-34;
07.594.978/0369-54;610.756/010-15;
07.594.978/0385-74;610.756/011-97;
07.594.978/0388-17;610.756/012-70;
07.594.978/0389-06;10036178;
07.594.978/0460-89;610.756/013-53;
07.594.978/0461-60;610.756/014-37;
07.594.978/0462-40;610.756/015-02;
07.594.978/0464-02;610.756/016-84;
07.594.978/0480-22;610.756/017-67;
07.594.978/0019-05;281419-6;
07.594.978/0055-60;343094-4;
07.594.978/0069-66;288357-0;
07.594.978/0070-08;288322-8;
07.594.978/0072-61;288321-0;
07.594.978/0075-04;291902-8;
07.594.978/0081-52;297557-2;
07.594.978/0100-50;294830-3;
07.594.978/0132-37;3481760;
07.594.978/0133-18;104791;
07.594.978/0134-07;3481743;
07.594.978/0167-67;471192-0;
07.594.978/0180-34;4755979;
07.594.978/0327-03;507463-0;
07.594.978/0329-67;507461-4;
07.594.978/0330-09;507462-2;
07.594.978/0350-44;514550-3;
07.594.978/0361-05;521922-1;
07.594.978/0365-20;523068-3;
07.594.978/0366-01;523069-1;
07.594.978/0380-60;531037-7;
07.594.978/0383-02;533703-8;
07.594.978/0392-01;537693-9;
07.594.978/0414-43;563067-3;
07.594.978/0421-72;565018-6;
07.594.978/0425-04;568241-0;
07.594.978/0426-87;615969-9;
07.594.978/0475-65;7386958;
07.594.978/0484-56;748480-1;
07.594.978/0485-37;7490003;
07.594.978/0488-80;7492693;
07.594.978/0490-02;7500939;
07.594.978/0496-90;761092-0;
07.594.978/0500-00;772000-9;
07.594.978/0527-20;1822511;
07.594.978/0445-40;07923591/00283;
07.594.978/0446-20;07923591/00364;
07.594.978/0225-70;88428;
07.594.978/0314-80;140240;
07.594.978/0415-24;129333;
07.594.978/0422-53;129332;
07.594.978/0443-88;37481;
07.594.978/0495-09;1301592;
07.594.978/0005-00;312469-1;
07.594.978/0036-06;352496-5;
07.594.978/0076-95;375396-4;
07.594.978/0099-81;383135 -3;
07.594.978/0158-76;4273648;
07.594.978/0159-57;4273631;
07.594.978/0161-71;14257308;
07.594.978/0404-71;5126002;
07.594.978/0408-03;5126010;
07.594.978/0478-08;5667038;
07.594.978/0219-22;0956506/002-7;
07.594.978/0226-51;0956506/003-5;
07.594.978/0306-70;0.956.506/004-3;
07.594.978/0311-38;0956506/005-1;
07.594.978/0322-90;0.956.506/006-x;
07.594.978/0326-14;72102518;
07.594.978/0345-87;0.956.506/007-8;
07.594.978/0346-68;0.956.506/008-6;
07.594.978/0349-00;0.956.506/009-4;
07.594.978/0386-55;0.956.506/010-8;
07.594.978/0397-08;0956506/011-6;
07.594.978/0399-70;0.956.506/012-4;
07.594.978/0416-05;0.956.506/013-2;
07.594.978/0419-58;0.956.506/014-0;
07.594.978/0423-34;33822500;
07.594.978/0424-15;120562;
07.594.978/0428-49;0956506015-9;
07.594.978/0429-20;0956506016-7;
07.594.978/0433-06;1/3013665;
07.594.978/0438-10;1809710011;
07.594.978/0447-01;9565060175;
07.594.978/0479-99;0956506/018-3;
07.594.978/0191-97;06 04 788.934-4;
07.594.978/0224-90;06 04 809.202-1;
07.594.978/0229-02;06 04 0815854-6;
07.594.978/0233-80;06 04 817.310-9;
07.594.978/0300-85;06 04 825.264-5;
07.594.978/0402-00;06 04 873.391-7;
07.594.978/0405-52;0604875352-5;
07.594.978/0410-10;06 04 876.919-1;
07.594.978/0420-91;8860644;
07.594.978/0431-44;6049623268;
07.594.978/0435-78;0604962561-9;
07.594.978/0442-05;06040967703-1;
07.594.978/0469-17;50641;
07.594.978/0476-46;17 12 1.011.639-6;
07.594.978/0493-47;79515;
07.594.978/0499-32;06 04 1.035.128-0;
07.594.978/0503-53;06 04 1.049.914-8;
07.594.978/0012-20;454.952-0;
07.594.978/0037-89;487.606-7;
07.594.978/0092-05;975490-3;
07.594.978/0172-24;094659-1;
07.594.978/0312-19;642.877-0;
07.594.978/0321-00;652.758-2;
07.594.978/0347-49;653.517-8;
07.594.978/0364-40;997147-5;
07.594.978/0437-30;728.950-2;
07.594.978/0440-35;729.654-1;
07.594.978/0444-69;731.812-0;
07.594.978/0474-84;753.393-4;
07.594.978/0494-28;760.988-4;
07.594.978/0056-41;208942-4;
07.594.978/0162-52;2155934;
07.594.978/0168-48;2157430;
07.594.978/0177-39;2163099;
07.594.978/0315-61;022773-0;
07.594.978/0391-12;244570;
07.594.978/0497-70;2250513;
07.594.978/0020-30;25833626;
07.594.978/0022-00;25833227;
07.594.978/0066-13;27219925;
07.594.978/0097-10;27222020;
07.594.978/0166-86;6881759;
07.594.978/0181-15;2899672-0;
07.594.978/0220-66;2991152-4;
07.594.978/0356-30;307.699.2.2;
07.594.978/0357-10;30785820;
07.594.978/0502-72;327.688.2.6;
07.594.978/0001-78;3.447.929-5;
07.594.978/0002-59;4.056.465-7;
07.594.978/0003-30;197760;
07.594.978/0004-10;4.227.525-3;
07.594.978/0006-82;197811-0;
07.594.978/0007-63;198872-3;
07.594.978/0008-44;4.365.555-6;
07.594.978/0009-25;4.365.551-3;
07.594.978/0010-69;4.368.978-7;
07.594.978/0011-40;34460;
07.594.978/0013-01;4.379.701-6;
07.594.978/0014-92;84063;
07.594.978/0016-54;4.423.339-6;
07.594.978/0018-16;307473;
07.594.978/0023-83;4.481.746-0;
07.594.978/0024-64;6004629;
07.594.978/0025-45;4.513.108-2;
07.594.978/0026-26;4.513.110-4;
07.594.978/0027-07;4.513.105-8;
07.594.978/0028-98;100790;
07.594.978/0029-79;62843;
07.594.978/0030-02;244770-3;
07.594.978/0032-74;218113;
07.594.978/0033-55;217287-9;
07.594.978/0034-36;4.647.974-0;
07.594.978/0035-17;4.656.689-9;
07.594.978/0038-60;215885;
07.594.978/0039-40;4.668.953-2;
07.594.978/0040-84;4.668.951-6;
07.594.978/0041-65;341741;
07.594.978/0043-27;4.858.558-0;
07.594.978/0044-08;294251-8;
07.594.978/0045-99;4.858.556-4;
07.594.978/0046-70;4.702.936-6;
07.594.978/0047-50;4.702.933-1;
07.594.978/0048-31;4.673.539-9;
07.594.978/0049-12;4.673.542-9;
07.594.978/0050-56;923563;
07.594.978/0051-37;4.757.278-7;
07.594.978/0052-18;2737724;
07.594.978/0053-07;110001-7;
07.594.978/0054-80;88934;
07.594.978/0057-22;4.808.923-0;
07.594.978/0058-03;4.808.921-4;
07.594.978/0059-94;4.831.807-8;
07.594.978/0060-28;108190;
07.594.978/0062-90;4.808.919-2;
07.594.978/0063-70;468225-4;
07.594.978/0064-51;341124;
07.594.978/0065-32;4.837.284-6;
07.594.978/0067-02;4.843.416-7;
07.594.978/0068-85;4.902.104-4;
07.594.978/0074-23;4.905.960-2;
07.594.978/0077-76;4.905.959-9;
07.594.978/0078-57;4.876.401-9;
07.594.978/0080-71;5.350.283-3;
07.594.978/0083-14;4.947.893-1;
07.594.978/0084-03;4.947.898-2;
07.594.978/0085-86;231531;
07.594.978/0087-48;53726;
07.594.978/0088-29;294252-6;
07.594.978/0090-43;4.986.807-1;
07.594.978/0094-77;5.046.289-0;
07.594.978/0095-58;2661285;
07.594.978/0096-39;4.986.804-7;
07.594.978/0101-30;5.082.869-0;
07.594.978/0102-11;5.082.876-2;
07.594.978/0103-00;5.071.055-9;
07.594.978/0104-83;5.082.872-0;
07.594.978/0105-64;5.082.878-9;
07.594.978/0106-45;5.082.879-7;
07.594.978/0107-26;5.105.332-2;
07.594.978/0109-98;50077-1;
07.594.978/0110-21;5.135.239-7;
07.594.978/0114-55;3360245;
07.594.978/0116-17;5.233.462-7;
07.594.978/0117-06;5.233.464-3;
07.594.978/0118-89;115017;
07.594.978/0119-60;5.234.436-3;
07.594.978/0120-01;5.233.457-0;
07.594.978/0121-84;5.234.430-4;
07.594.978/0122-65;5.233.463-5;
07.594.978/0123-46;5.234.401-0;
07.594.978/0124-27;5.234.392-8;
07.594.978/0125-08;5.990.999-4;
07.594.978/0126-99;5.234.398-7;
07.594.978/0127-70;5.234.432-0;
07.594.978/0128-50;5.234.425-8;
07.594.978/0129-31;5.234.395-2;
07.594.978/0130-75;5.234.408-8;
07.594.978/0141-28;5.296.002-1;
07.594.978/0142-09;363386;
07.594.978/0147-13;5.329.247-2;
07.594.978/0148-02;5.329.245-6;
07.594.978/0149-85;5.415.712-9;
07.594.978/0150-19;5.415.715-3;
07.594.978/0151-08;5.442.514-0;
07.594.978/0152-80;2737656;
07.594.978/0153-61;5.461.765-0;
07.594.978/0155-23;282243;
07.594.978/0156-04;5.783.687-6;
07.594.978/0157-95;58461;
07.594.978/0160-90;5.861.083-9;
07.594.978/0165-03;251504-0;
07.594.978/0169-29;5.680.388-5;
07.594.978/0170-62;53681-4;
07.594.978/0171-43;5.680.391-5;
07.594.978/0173-05;45858;
07.594.978/0174-96;159566-0;
07.594.978/0175-77;5.709.564-7;
07.594.978/0176-58;2737669;
07.594.978/0178-10;5.768.575-4;
07.594.978/0182-04;5.783.482-2;
07.594.978/0183-87;5.783.488-1;
07.594.978/0185-49;5.822.999-0;
07.594.978/0186-20;5.822.998-1;
07.594.978/0187-00;5.822.997-3;
07.594.978/0188-91;5.851.723-5;
07.594.978/0190-06;5.861.123-1;
07.594.978/0201-01;6.035.990-0;
07.594.978/0202-84;5.964.785-0;
07.594.978/0204-46;485870-6;
07.594.978/0205-27;5.943.002-8;
07.594.978/0206-08;251176;
07.594.978/0207-99;5.964.767-1;
07.594.978/0208-70;6.017.963-5;
07.594.978/0211-75;6.017.957-0;
07.594.978/0212-56;6.017.941-4;
07.594.978/0213-37;55970;
07.594.978/0214-18;6.017.960-0;
07.594.978/0215-07;6.023.051-7;
07.594.978/0216-80;254961;
07.594.978/0217-60;6.035.992-7;
07.594.978/0218-41;6.023.052-5;
07.594.978/0221-47;6.052.949-0;
07.594.978/0222-28;6.069.946-9;
07.594.978/0223-09;6.069.945-0;
07.594.978/0227-32;6.096.335-2;
07.594.978/0230-38;6.148.248-0;
07.594.978/0231-19;6.148.250-1;
07.594.978/0232-08;6.148.251-0;
07.594.978/0234-61;6.171.116-0;
07.594.978/0235-42;6.162.523-0;
07.594.978/0236-23;359542;
07.594.978/0237-04;6.162.519-1;
07.594.978/0301-66;6.224.758-1;
07.594.978/0302-47;6.257.088-9;
07.594.978/0305-90;67995;
07.594.978/0317-23;272499;
07.594.978/0318-04;6.287.274-5;
07.594.978/0319-95;276880;
07.594.978/0324-52;369425;
07.594.978/0325-33;6.331.934-9;
07.594.978/0332-62;6.350.511-8;
07.594.978/0333-43;6.350.509-6;
07.594.978/0336-96;6.372.874-5;
07.594.978/0337-77;6.372.896-6;
07.594.978/0338-58;138657;
07.594.978/0339-39;6.372.873-7;
07.594.978/0340-72;383760;
07.594.978/0343-15;6.380.409-3;
07.594.978/0351-25;6.403.660-0;
07.594.978/0352-06;6.403.666-9;
07.594.978/0353-97;6.403.663-4;
07.594.978/0354-78;6.403.669-3;
07.594.978/0355-59;6.424.785-6;
07.594.978/0358-00;6.437.204-9;
07.594.978/0359-82;6.437.151-4;
07.594.978/0360-16;6.437.158-1;
07.594.978/0362-88;275658;
07.594.978/0363-69;6.450.690-8;
07.594.978/0367-92;5817293;
07.594.978/0370-98;6.537.904-7;
07.594.978/0371-79;6.537.901-2;
07.594.978/0372-50;6.537.892-0;
07.594.978/0373-30;6.537.889-0;
07.594.978/0374-11;6.537.887-3;
07.594.978/0375-00;6.537.890-3;
07.594.978/0376-83;6.537.891-1;
07.594.978/0377-64;6.537.897-0;
07.594.978/0378-45;283305-0;
07.594.978/0379-26;6.537.895-4;
07.594.978/0381-40;6.537.742-7;
07.594.978/0393-84;283307;
07.594.978/0394-65;279003;
07.594.978/0395-46;728698-8;
07.594.978/0398-99;144764;
07.594.978/0400-48;6.710.766-4;
07.594.978/0401-29;417064;
07.594.978/0403-90;6.710.869-5;
07.594.978/0407-14;6.710.871-7;
07.594.978/0412-81;68293/0001;
07.594.978/0413-62;417065;
07.594.978/0418-77;4.AH462-1;
07.594.978/0427-68;7.025.756-6;
07.594.978/0430-63;158758;
07.594.978/0432-25;305317;
07.594.978/0439-00;7.047.188-6;
07.594.978/0441-16;7.055.332-7;
07.594.978/0449-73;89385;
07.594.978/0452-79;7.081.294-2;
07.594.978/0454-30;7.097.086-6;
07.594.978/0465-93;400631;
07.594.978/0466-74;7.196.831-8;
07.594.978/0467-55;7.196.832-6;
07.594.978/0468-36;7.196.839-3;
07.594.978/0470-50;999735863;
07.594.978/0471-31;7.202.943-9;
07.594.978/0477-27;465632;
07.594.978/0481-03;7.285.377-8;
07.594.978/0482-94;7.285.380-8;
07.594.978/0498-51;7.384.845-0;
07.594.978/0501-91;7.443.139-0;
07.594.978/0504-34;7.476.060-2;
07.594.978/0505-15;7.534.691-5;
07.594.978/0455-11;136915-0;
07.594.978/0473-01;135395-4;
07.594.978/0135-80;6515614;
07.594.978/0138-22;24823;
07.594.978/0144-70;0652413-3;
07.594.978/0145-51;0659022-5;
07.594.978/0146-32;0661171-0;
07.594.978/0192-78;1094642-5;
07.594.978/0193-59;1094647-6;
07.594.978/0194-30;1097701-0;
07.594.978/0195-10;1096820-8;
07.594.978/0196-00;1097380-5;
07.594.978/0197-82;1097299-0;
07.594.978/0198-63;3020995;
07.594.978/0199-44;1099889-1;
07.594.978/0200-12;1100557-8;
07.594.978/0210-94;1107715-3;
07.594.978/0228-13;1137788-2;
07.594.978/0238-95;1152168-1;
07.594.978/0239-76;1152169-0;
07.594.978/0240-00;1152170-3;
07.594.978/0241-90;1152290-4;
07.594.978/0242-71;1152289-0;
07.594.978/0243-52;1152279-3;
07.594.978/0244-33;1152278-5;
07.594.978/0245-14;1152267-0;
07.594.978/0247-86;1152262-9;
07.594.978/0248-67;1152261-0;
07.594.978/0249-48;1152265-3;
07.594.978/0250-81;1152263-7;
07.594.978/0251-62;1152259-9;
07.594.978/0252-43;1152258-0;
07.594.978/0253-24;1152257-2;
07.594.978/0254-05;1152256-4;
07.594.978/0255-96;1152255-6;
07.594.978/0256-77;1152246-7;
07.594.978/0257-58;1152245-9;
07.594.978/0258-39;1152244-0;
07.594.978/0259-10;1152243-2;
07.594.978/0260-53;1152242-4;
07.594.978/0261-34;1152241-6;
07.594.978/0262-15;1152240-8;
07.594.978/0263-04;1152239-4;
07.594.978/0264-87;1152238-6;
07.594.978/0265-68;1152222-0;
07.594.978/0266-49;1152219-0;
07.594.978/0267-20;1152217-3;
07.594.978/0268-00;1152211-4;
07.594.978/0269-91;1152210-6;
07.594.978/0270-25;1152208-4;
